Gene_Name
KLF4
KLHL6
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
LIFR
LMO1
LRP1B
LRP2
LRRK2
MALAT1
MAN1B1
MAP2K1
MAP2K2
MAP2K4
MAP3K1
MAP3K13
MAP3K15
MAP4K1
MAP4K3
MAPK1
MAPK8IP1
MBD1
MC1R
MCL1
MDM2
MDM4
MECOM
MED12
MED23
MEF2A
MEF2B
MEN1
MET
MGA
MIR142
MITF
MLH1
MNDA
MORC4
MPL
MRE11A
MSH2
MSH6
MTHFR
MTOR
MUTYH
MXRA5
MYB
MYC
MYCL1
MYCN
MYD88
MYLK
MYST3
NAV3
NBN
NBPF1
NCOR1
NEIL1
NF1
NF2
NFE2L2
NFKBIA
NKX2-1
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NPM1
NQO1
NRAS
NRP2
NSD1
NTN4
NTRK1
NTRK2
NTRK3
NUP93
ODAM
OTUD7A
PAK3
PAK7
PALB2
PAPD5
PARP1
PARP2
PARP3
PARP4
PAX5
PBRM1
PCBP1
PCDH10
PDAP1
PDCD2L
PDGFRA
PDGFRB
PDK1
PDSS2
PHF6
PIK3C2G
PIK3C3
PIK3CA
PIK3CG
PIK3R1
PIK3R2
PLCG2
PML
PMS2
PNRC1
POLD1
POLE
POLQ
PORCN
POU2AF1
POU2F2
PPM1D
PPP2R1A
PPP6C
PRDM1
PRKAR1A
PRKDC
PRLR
PRPF40B
PRSS8
PTCH1
PTEN
PTPN11
PTPRC
PTPRD
QKI
RAB40A
RAC1
RAD21
RAD50
RAD51
RAD51B
RAD51C
RAD51D
RAD52
RAD54L
RAF1
RALY
RARA
RASA1
RB1
RBM10
RBMX
REL
RET
RHBDF2
RHEB
RHOA
RICTOR
RIT1
RNF43
ROS1
RPA1
RPL22
RPL5
RPS14
RPS15
RPS2
RPTOR
RUNX1
RUNX1T1
RUNX3
RXRA
SDHAF2
SDHB
SDHC
SDHD
SERPINB13
SETBP1
SETD2
SETDB1
SF1
SF3B1
SGK1
SH2B3
SIN3A
SIRPA
SIRT4
SLC19A1
SLC22A2
SLCO1B3
SMAD2
SMAD3
SMAD4
SMARCA4
SMARCB1
SMARCD1
SMC1A
SMC3
SMO
SNX25
SOCS1
SOD2
SOS1
SOX10
SOX17
SOX2
SOX9
SPEN
SPOP
SPRY4
SRC
SRSF2
STAG2
STAT4
STK11
STK19
STK38
STX2
SUFU
SULT1A1
SUZ12
SYK
SZRD1C
TAF1
TBC1D12
TBL1XR1
TBX3
TCEB1
TCF7L2
TET2
TFG
TGFBR2
TIMM17A
TIPARP
TLK2
TLR4
TMPRSS2
TNF
TNFAIP3
TNFRSF14
TOP1
TP53
TP53BP1
TPMT
TPX2
TRAF3
TRAF7
TRRAP
TSC1
TSC2
TSHR
TSHZ2
TSHZ3
TYMS
TYR
U2AF1
U2AF65
UGT1A1
UMPS
USP9X
VANGL2
VEZF1
VHL
WAC
WASF3
WISP3
WNK1
WT1
XPO1
XRCC2
XRCC3
ZFHX3
ZNF217
ZNF703
ZRANB3
ZRSR2

